Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 17 | 2026-04-19 - 2026-04-25 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"28x40 matted frame","691","44","1053","6","0.57","23","52.27","1","4.35","56.99","81.99","0","3","6","2","4.55","0","0.0","56.79",,"0","0","1","2","4.55","0","0.0","56.79",,"0","0","1","2026-04-25"
"6x8 opening frame","961","12","375","2","0.53","3","25.0","1","33.33","21.99","16.99","0","2","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"headboard shelves","889","66","1552","3","0.19","32","48.48","1","3.13","89.99","26.99","2","9","7","4","6.06","0","0.0","15.99",,"2","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"8x10 vintage picture frame","542","732","18545","12","0.06","364","49.73","1","0.27","21.99","17.99","22","176","98","160","21.86","0","0.0","19.99",,"15","64","43","29","3.96","0","0.0","19.99",,"4","16","9","2026-04-25"
"floating shelves wood wall mounted","469","490","11359","53","0.47","231","47.14","0","0.0","26.99",,"48","82","44","28","5.71","0","0.0","23.82",,"7","10","5","8","1.63","0","0.0","20.8",,"4","2","1","2026-04-25"
"12 in deep wood shelf","735","4","88","6","6.82","4","100.0","1","25.0","22.99","26.99","0","3","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"beaded picture frame","132","309","7596","4","0.05","111","35.92","1","0.9","19.99","20.99","9","50","34","26","8.41","1","3.85","20.99","20.99","3","11","9","4","1.29","0","0.0","20.99",,"0","2","2","2026-04-25"
"wooden frame","648","1620","44008","44","0.1","481","29.69","0","0.0","18.99",,"37","254","94","125","7.72","0","0.0","18.99",,"9","63","29","27","1.67","0","0.0","18.39",,"2","19","3","2026-04-25"
"24 inch wooden floating shelf","933","6","120","3","2.5","3","50.0","1","33.33","69.99","94.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"vintage picture frame 8.5 x 11","866","10","321","3","0.93","1","10.0","1","100.0","21.99","21.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"flat edge solid wood floating shelves","835","1","33","4","12.12","1","100.0","1","100.0","112.99","112.99","0","1","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
